time_launch,filtered_altitude,unfiltered_altitude,pressure,temperature,acceleration_x,acceleration_y,acceleration_z,gyro_x_rate,gyro_y_rate,gyro_z_rate,max_altitude,apogee_counter,event#,error_flag 
11593,-3.521317,-4.63028,995.9518,10.83846,0.7729492, -0.1289063, 0.6733398, 0.2310938, -0.2698436, 0.06421876,80.81176,5,4,30
11655,-2.984078,-2.446838,995.8729,-1,0.7724609, -0.1303711, 0.675293, 0.2310938, -0.2542186, 0.00171876,80.81176,5,4,30
11720,-2.02663,-1.069183,995.823,10.82928,0.7744141, -0.1293945, 0.6748047, 0.2310938, -0.2073436, 0.06421876,80.81176,5,4,30
11785,-2.093775,-2.160919,995.8624,10.82928,0.7729492, -0.1298828, 0.6748047, 0.1373438, -0.2229686, 0.09546876,80.81176,5,4,30
11852,-2.668866,-3.243958,995.9019,10.83846,0.7749023, -0.1289063, 0.6762695, 0.2467188, -0.2854686, 0.09546876,80.81176,5,4,30
11919,-2.557852,-2.446838,995.8729,10.82928,0.7753906, -0.1293945, 0.6767578, 0.1685938, -0.3323436, 0.03296876,80.81176,5,4,30
11986,-3.160854,-3.763855,995.9203,-1,0.7739258, -0.1298828, 0.6757813, 0.2935938, -0.3167186, 0.09546876,80.81176,5,4,30
12056,-2.223325,-1.285797,995.8308,-1,0.7734375, -0.1313477, 0.6748047, 0.1529688, -0.1760936, 0.06421876,80.81176,5,4,30
12234,-2.586348,-2.949371,995.8912,10.82928,0.7724609, -0.1308594, 0.6743164, 0.1842188, -0.2698436, 0.04859376,80.81176,5,4,30
12305,-3.313728,-4.041107,995.9305,10.82928,0.7739258, -0.1308594, 0.6762695, 0.2310938, -0.3010936, 0.06421876,80.81176,5,4,30
12375,-3.677418,-4.041107,995.9305,10.82928,0.7729492, -0.1298828, 0.6762695, 0.2467188, -0.3010936, 0.07984376,80.81176,5,4,30
12447,-2.767527,-1.857635,995.8517,10.82469,0.7734375, -0.1289063, 0.6757813, 0.1998438, -0.2698436, 0.07984376,80.81176,5,4,30
12517,-2.169621,-1.571716,995.8413,-1,0.7749023, -0.1303711, 0.6743164, 0.2310938, -0.2698436, 0.06421876,80.81176,5,4,30
12589,-2.559496,-2.949371,995.8912,-1,0.7744141, -0.1298828, 0.6743164, 0.1685938, -0.2385936, 0.07984376,80.81176,5,4,30
12660,-1.116845,0.3258057,995.7727,-1,0.7749023, -0.1303711, 0.6738281, 0.1998438, -0.2073436, 0.04859376,80.81176,5,4,30
12734,-2.578976,-4.041107,995.9305,-1,0.7739258, -0.1308594, 0.6743164, 0.2310938, -0.2698436, 0.09546876,80.81176,5,4,30
12807,-2.478255,-2.377533,995.8702,10.83387,0.7734375, -0.1333008, 0.675293, 0.2154688, -0.2385936, 0.07984376,80.81176,5,4,30
12880,-3.666907,-4.85556,995.9598,-1,0.7744141, -0.1298828, 0.6757813, 0.1998438, -0.2698436, -0.02953124,80.81176,5,4,30
13063,-3.42078,-3.174652,995.8992,-1,0.7729492, -0.1293945, 0.6767578, 0.2310938, -0.2542186, 0.09546876,80.81176,5,4,30
13139,-5.082613,-6.744446,996.0281,-1,0.7734375, -0.1303711, 0.6733398, 0.2154688, -0.2385936, 0.1110938,80.81176,5,4,30
13214,-4.275926,-3.469238,995.9097,-1,0.7744141, -0.1308594, 0.6757813, 0.1685938, -0.2854686, 0.01734376,80.81176,5,4,30
13291,-3.872582,-3.469238,995.9097,-1,0.7739258, -0.1298828, 0.6757813, 0.1529688, -0.2542186, 0.04859376,80.81176,5,4,30
13369,-2.431896,-0.9912109,995.8203,-1,0.7719727, -0.1318359, 0.6743164, 0.1842188, -0.2698436, 0.1110938,80.81176,5,4,30
13445,-3.349142,-4.266388,995.9386,-1,0.7724609, -0.1298828, 0.6748047, 0.1998438, -0.3010936, 0.04859376,80.81176,5,4,30
13525,-2.716029,-2.082916,995.8596,-1,0.7744141, -0.1303711, 0.6748047, 0.1998438, -0.2073436, 0.01734376,80.81176,5,4,30
13606,-2.945341,-3.174652,995.8992,-1,0.7724609, -0.1298828, 0.6738281, 0.1998438, -0.2385936, 0.09546876,80.81176,5,4,30
13688,-1.820967,-0.6965942,995.8096,10.81092,0.7749023, -0.1298828, 0.6762695, 0.2310938, -0.2385936, 0.07984376,80.81176,5,4,30
13770,-1.510063,-1.199158,995.8279,-1,0.7719727, -0.1298828, 0.6738281, 0.1998438, -0.2542186, 0.06421876,80.81176,5,4,30
13959,-0.8130757,-0.1160889,995.7886,-1,0.7734375, -0.1308594, 0.6767578, 0.1998438, -0.3010936, 0.07984376,80.81176,5,4,30
14041,-1.846571,-2.880066,995.8885,-1,0.7734375, -0.1313477, 0.6757813, 0.2310938, -0.3167186, 0.06421876,80.81176,5,4,30
14181,-2.363318,-2.880066,995.8885,10.80174,0.7724609, -0.1298828, 0.6757813, 0.1685938, -0.2854686, 0.06421876,80.81176,5,4,30
14242,-2.331424,-2.29953,995.8675,-1,0.7734375, -0.1289063, 0.6772461, 0.2154688, -0.2073436, 0.04859376,80.81176,5,4,30
14305,-3.151613,-3.971802,995.928,-1,0.7734375, -0.1308594, 0.6748047, 0.2467188, -0.3010936, 0.1423438,80.81176,5,4,30
14370,-3.414399,-3.677185,995.9175,10.80174,0.7734375, -0.1293945, 0.6748047, 0.1998438, -0.2385936, 0.04859376,80.81176,5,4,30
14436,-2.454072,-1.493744,995.8386,-1,0.7739258, -0.1298828, 0.6738281, 0.1685938, -0.2698436, 0.09546876,80.81176,5,4,30
14502,-3.212937,-3.971802,995.928,10.80174,0.7729492, -0.1303711, 0.675293, 0.1685938, -0.2698436, 0.04859376,80.81176,5,4,30
14567,-1.114311,0.984314,995.7491,10.80633,0.7729492, -0.1293945, 0.6757813, 0.2310938, -0.3010936, 0.06421876,80.81176,5,4,30
14629,-1.706921,-2.29953,995.8675,-1,0.7758789, -0.1313477, 0.6757813, 0.1998438, -0.2385936, 0.01734376,80.81176,5,4,30
14803,-2.003225,-2.29953,995.8675,-1,0.7714844, -0.1293945, 0.675293, 0.2467188, -0.1604686, 0.06421876,80.81176,5,4,30
14869,-2.549953,-3.09668,995.8964,10.79715,0.7749023, -0.1298828, 0.6757813, 0.1842188, -0.2698436, 0.04859376,80.81176,5,4,30
14937,-2.277448,-2.004944,995.8571,-1,0.7739258, -0.1303711, 0.6762695, 0.1685938, -0.2542186, 0.09546876,80.81176,5,4,30
15005,-1.595328,-0.913208,995.8176,10.79255,0.7714844, -0.1289063, 0.6733398, 0.1685938, -0.2698436, 0.07984376,80.81176,5,4,30
15072,-1.800136,-2.004944,995.8571,-1,0.7739258, -0.1289063, 0.6757813, 0.1685938, -0.2854686, 0.04859376,80.81176,5,4,30
15140,-1.612272,-1.424408,995.8359,-1,0.7734375, -0.1308594, 0.6757813, 0.1685938, -0.2385936, 0.06421876,80.81176,5,4,30
15209,-2.064208,-2.516144,995.8753,10.79715,0.7749023, -0.1303711, 0.6743164, 0.2310938, -0.2385936, 0.1110938,80.81176,5,4,30
15281,-1.194122,-0.3240356,995.7963,-1,0.7744141, -0.1293945, 0.6757813, 0.1998438, -0.2385936, 0.03296876,80.81176,5,4,30
