time,temperature,pressure,altitude,errorLog
343490,-1,1016.184,1.495499,0
343501,-1,1016.205,0.9409714,0
343510,-1,1016.305,-1.814346,0
343520,21.76554,1016.225,0.3864441,0
343530,-1,1016.184,1.495499,0
343541,-1,1016.205,0.9409714,0
343551,-1,1016.286,-1.277145,0
343560,-1,1016.296,-1.554413,0
343571,21.7747,1016.286,-1.277145,0
343582,21.77012,1016.165,2.0327,0
343591,-1,1016.347,-2.940735,0
343602,21.77012,1016.175,1.738106,0
343611,-1,1016.245,-0.1680832,0
343621,-1,1016.226,0.3517838,0
343632,21.77928,1016.205,0.9409714,0
343642,-1,1016.256,-0.462677,0
343652,-1,1016.286,-1.277145,0
343663,21.77928,1016.226,0.3517838,0
343672,-1,1016.135,2.847168,0
343682,-1,1016.245,-0.1680832,0
343693,21.7747,1016.245,-0.1680832,0
343703,-1,1016.215,0.6463776,0
343713,-1,1016.407,-4.569664,0
343723,-1,1016.417,-4.846924,0
343733,-1,1016.286,-1.277145,0
343742,-1,1016.154,2.309967,0
343754,21.77012,1016.245,-0.1680832,0
343763,-1,1016.367,-3.477928,0
343773,-1,1016.245,-0.1680832,0
343783,-1,1016.215,0.6463776,0
343794,-1,1016.205,0.9409714,0
343803,-1,1016.165,2.0327,0
343814,21.77012,1016.215,0.6463776,0
343824,-1,1016.387,-4.032463,0
343834,-1,1016.326,-2.368874,0
343844,-1,1016.326,-2.368874,0
343854,-1,1016.205,0.9409714,0
343865,21.77012,1016.266,-0.7399445,0
343875,-1,1016.226,0.3517838,0
343884,-1,1016.245,-0.1680832,0
343895,21.77012,1016.347,-2.940735,0
343905,-1,1016.266,-0.7399445,0
343915,-1,1016.245,-0.1680832,0
343925,-1,1016.175,1.738106,0
343935,-1,1016.245,-0.1680832,0
343946,21.76554,1016.245,-0.1680832,0
343956,-1,1016.286,-1.277145,0
343966,-1,1016.245,-0.1680832,0
343976,-1,1016.276,-0.9825516,0
343985,-1,1016.307,-1.831673,0
343996,-1,1016.205,0.9409714,0
344007,21.77012,1016.326,-2.368874,0
344016,-1,1016.367,-3.477928,0
344026,-1,1016.245,-0.1680832,0
344036,-1,1016.266,-0.7399445,0
344046,21.7747,1016.205,0.9409714,0
344057,-1,1016.266,-0.7399445,0
344067,-1,1016.245,-0.1680832,0
344077,-1,1016.205,0.9409714,0
344087,-1,1016.245,-0.1680832,0
344098,-1,1016.256,-0.462677,0
344108,-1,1016.245,-0.1680832,0
344118,-1,1016.215,0.6463776,0
344127,-1,1016.226,0.3517838,0
344137,-1,1016.245,-0.1680832,0
344148,-1,1016.154,2.309967,0
